,dtype
date,datetime64[ns]
revenue,float64
transactions,float64
avg_price,float64
first_sale_hour,float64
last_sale_hour,float64
avg_sale_hour,float64
year,int64
month,int32
day,int64
dayofweek,int64
quarter,int64
week_of_year,int64
is_weekend,int32
is_month_start,int32
is_month_end,int32
month_sin,float64
month_cos,float64
dayofweek_sin,float64
dayofweek_cos,float64
transactions_lag_1,float64
transactions_lag_7,float64
transactions_lag_14,float64
transactions_roll_3,float64
transactions_roll_7,float64
transactions_roll_30,float64
transactions_vol_7,float64
total_daily_transactions,float64
total_daily_revenue,float64
market_share_transactions,float64
product_Americano,bool
product_Americano with Milk,bool
product_Cappuccino,bool
product_Cocoa,bool
product_Cortado,bool
product_Espresso,bool
product_Hot Chocolate,bool
product_Latte,bool
product,object
dow,int32
dow_sin,float64
dow_cos,float64
totals_day_t1,float64
share_day_t1,float64
totals_day_roll_7,float64
competitor_sum_t1,float64
